dataset,n,obs_held,obs_sat_pct,torque_scale_at_first_failure
campaign,1,False,31,0.77578125
campaign,2,False,16,0.76484375
campaign,3,True,0,0.6992187500000001
campaign,4,True,0,0.77578125
campaign,5,False,22,0.83046875
campaign,6,True,0,0.8195312499999999
campaign,7,False,26,0.76484375
campaign,8,False,27,0.8632812499999999
today,1,False,37.0,0.50234375
today,2,False,46.0,0.53515625
today,3,False,48.0,0.57890625
today,6,False,42.0,0.58984375
today,7,True,2.0,0.76484375
today,8,False,29.0,0.83046875
today,9,False,35.0,0.8195312499999999
today,10,False,14.0,0.77578125
today,11,False,2.0,0.62265625
today,13,False,29.0,0.78671875
today,14,False,34.0,0.85234375
today,15,False,41.0,0.80859375
today,16,False,22.0,0.8632812499999999
today,18,False,40.0,0.78671875
today,19,False,38.0,0.79765625
today,20,False,41.0,0.83046875
today,22,False,33.0,0.77578125
